"rep","n","method","R2","RMSE"
10,250,"lasso",-0.069173337954177,4.86465789301491
10,500,"lasso",0.351432679735535,3.83982062764894
10,1000,"lasso",0.52968963320251,2.73577742728706
11,10,"lasso",-0.389572974577203,3.02048392030762
11,20,"lasso",-3.77384100120065,5.85965147818388
11,50,"lasso",0.313508978882693,4.31988243171758
11,100,"lasso",0.089560388702662,4.45497341874876
11,250,"lasso",-0.0974719752900466,4.24578084479529
11,500,"lasso",0.27097304740923,3.64569208817082
11,1000,"lasso",0.510352636905063,3.27585480681543
12,10,"lasso",-1.40099313579797,2.55089311151344
12,20,"lasso",0.263906843854458,1.30355617077938
12,50,"lasso",0.0455195877245974,3.54058376759666
12,100,"lasso",-0.0460142745090928,4.87603587666623
12,250,"lasso",0.18224645347584,4.01512335044879
12,500,"lasso",0.333099196451696,3.74018819708032
12,1000,"lasso",0.475366161502212,3.14156759037343
13,10,"lasso",-0.497927975522516,4.75147110979236
13,20,"lasso",-0.00541819454692249,2.89226312882302
13,50,"lasso",-0.180355696481689,3.44178372766032
13,100,"lasso",0.189859420326923,3.84662258733296
13,250,"lasso",0.331190454732854,3.8184546878128
13,500,"lasso",0.400471578537616,3.97335914212536
13,1000,"lasso",0.664712182101084,2.81848849630394
14,10,"lasso",-24.0064322858553,5.25459170127446
14,20,"lasso",-0.319405527215854,3.07259110847614
14,50,"lasso",-0.477916367097747,6.3790016576906
14,100,"lasso",-0.169270364681621,4.52547615377409
14,250,"lasso",0.0541647189152435,4.3546167524707
14,500,"lasso",0.265723102149242,3.75288563762224
14,1000,"lasso",0.493096365095365,2.91787580731086
15,10,"lasso",-27.4492797702087,4.74502762005449
15,20,"lasso",-0.797783909712614,1.85688520803154
15,50,"lasso",-0.0750190531684456,4.68095749369067
15,100,"lasso",-0.00691151765655773,4.70182393872501
15,250,"lasso",0.0855184421270312,3.9197953096836
15,500,"lasso",0.27944209291971,3.68848115338538
15,1000,"lasso",0.539113127086578,3.06127560582964
16,10,"lasso",-0.296914795848455,4.42284022022655
16,20,"lasso",-0.391436283062648,5.08710991195937
16,50,"lasso",0.182427781594796,2.61949817193988
16,100,"lasso",0.0500887596316035,4.2719142413686
16,250,"lasso",0.118083733601797,3.96505054034868
16,500,"lasso",0.440599207008314,3.09734411996266
16,1000,"lasso",0.575652084047375,2.72530261295209
17,10,"lasso",-22.1694460686161,1.63953882993269
17,20,"lasso",-1.62086998785291,5.99943474689623
17,50,"lasso",-0.0858928482367443,4.82198070322479
17,100,"lasso",0.0615310714494096,4.35524812193388
17,250,"lasso",-0.011513836201213,4.31136639576525
17,500,"lasso",0.285694612056765,3.95815062542588
17,1000,"lasso",0.539074598611507,3.24581004688162
18,10,"lasso",-2.19305056696923,3.76345582182132
18,20,"lasso",-0.107548488279391,4.10907623806063
18,50,"lasso",-0.818361052833468,4.78105766317579
18,100,"lasso",-0.00961832268277152,3.89289107134901
18,250,"lasso",0.26331173417614,4.07915699076973
18,500,"lasso",0.287979726358315,3.46926111029788
18,1000,"lasso",0.542551456288335,2.96211140542268
19,10,"lasso",-5.20636435235213,9.09150986307782
19,20,"lasso",-0.120432330212745,6.46812533362026
19,50,"lasso",-0.0505115791847459,4.66898204965481
19,100,"lasso",-0.0178184007184019,4.5300741123865
19,250,"lasso",0.0335872572015375,4.56074683537693
19,500,"lasso",0.300215862129667,3.64644537954213
19,1000,"lasso",0.457616061955384,2.95349035777886
20,10,"lasso",-15.0689594741023,6.64804329785709
20,20,"lasso",-0.220283674366232,3.0990474378805
20,50,"lasso",-0.0233667662318184,3.216860290895
20,100,"lasso",-0.0111346120888181,4.35840571869102
20,250,"lasso",-0.0183167450304933,4.54383824511884
20,500,"lasso",0.230801338075564,3.46697119066301
20,1000,"lasso",0.43952935744233,3.16996588207996
21,10,"lasso",-2.04051553989329,2.56682153556082
21,20,"lasso",-4.92160169451919,3.5712165385201
21,50,"lasso",-1.09884525513848,5.20731082575818
21,100,"lasso",-0.00564773508607153,3.92526453111975
21,250,"lasso",0.0705523439292084,4.45372957712437
21,500,"lasso",0.344126006351801,3.82976482500315
21,1000,"lasso",0.519041641041361,3.12103628147161
22,10,"lasso",-0.0125604624674489,2.05761376192529
22,20,"lasso",-0.213034212043023,5.29040992698726
22,50,"lasso",-0.225771587787644,4.6269840773174
22,100,"lasso",-0.341841996491525,4.3859840259013
22,250,"lasso",0.0924172169780818,4.4919838289906
22,500,"lasso",0.261192278956432,3.68859616660151
22,1000,"lasso",0.538046509824468,2.98416417990671
23,10,"lasso",-0.462754926653056,0.744957603638392
23,20,"lasso",-0.247692651841498,4.41401716756873
23,50,"lasso",-0.194780640506,4.0683907126063
23,100,"lasso",-0.280562242483028,3.48288167411495
23,250,"lasso",0.134909530953558,3.6330693086206
23,500,"lasso",0.310749822376184,3.48074606970875
23,1000,"lasso",0.578809894036756,2.81297821311115
24,10,"lasso",-4358.48738438545,4.31637821246352
24,20,"lasso",-0.681889236835364,6.34893206074309
24,50,"lasso",-0.182380673686205,2.88483951985605
24,100,"lasso",-0.000201913817885258,3.88244358458731
24,250,"lasso",-0.0108581375651149,3.83120934753503
24,500,"lasso",0.313313138115823,3.69385252809115
24,1000,"lasso",0.48869252860997,3.08059927551703
25,10,"lasso",0.0159181740906361,6.16161308781416
25,20,"lasso",-0.126457141505524,6.22244954682912
25,50,"lasso",-0.0985739306201829,5.41724288438706
25,100,"lasso",-0.509595005963728,5.60558102397501
25,250,"lasso",0.235208219696775,3.91585214739134
25,500,"lasso",0.17226293722893,3.75453055964716
25,1000,"lasso",0.543206401731367,3.01747514442447
26,10,"lasso",-6.89131056880877,7.88203036558413
26,20,"lasso",-0.044558599357317,4.89588541458322
26,50,"lasso",0.0626538149767909,3.86746500111702
26,100,"lasso",-0.000329676676456225,6.76526040872155
26,250,"lasso",0.0195013208963399,4.19230828480824
26,500,"lasso",0.315331573876996,4.03107277317551
26,1000,"lasso",0.543093549343233,2.9475059277652
27,10,"lasso",-0.620503927960452,6.66231400565519
27,20,"lasso",-5.8693117147427,5.7007185676425
27,50,"lasso",0.084768970914925,4.96723279204779
27,100,"lasso",-0.0199063775355697,4.95396402283224
27,250,"lasso",-0.273909615596967,4.67612538715716
27,500,"lasso",0.262387499791449,3.89243397454314
