"n","method","Jaccard_stability_mean","Jaccard_stability_sd"
10,"mcp",0.357744107744108,0.479285165233499
20,"mcp",0.446739618406285,0.497147292803769
50,"mcp",0.248148310724068,0.431357170363855
100,"mcp",0.138037823271033,0.34057056071686
250,"mcp",0.0286955911892338,0.0711167263373565
500,"mcp",0.0884425228681875,0.0356642492345924
1000,"mcp",0.240402462140163,0.0364874635266387
